Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Distance_km,Vehicle_Type,Fuel_Type,Fuel_Price_per_unit_INR,Fuel_Consumption_per_100km,Fuel_Cost_INR,Other_Costs_INR,Handling_Fee_INR,Total_Price_INR
Madurai,9.9252,78.1198,Ahmedabad,23.0225,72.5714,1571.32,Small Truck,diesel,92.0,10,14456.14,521.4,200,15177.54
Visakhapatnam,17.6868,83.2185,Bhopal,23.2599,77.4126,865.66,Medium Truck,diesel,92.0,18,14335.33,743.28,200,15278.6
Guwahati,26.1445,91.7362,Tiruchirappalli,10.7905,78.7047,2188.12,Tractor Trailer,diesel,92.0,30,60392.11,3532.18,200,64124.29
Vasai-Virar,19.3914,72.8397,Bengaluru,12.9716,77.5946,875.82,Small Truck,diesel,92.0,10,8057.54,312.75,200,8570.29
Bhopal,23.2599,77.4126,Navi Mumbai,19.033,73.0297,653.73,Tractor Trailer,diesel,92.0,30,18042.95,1230.6,200,19473.54
Indore,22.7196,75.8577,Solapur,17.6599,75.9064,562.64,Electric Van,electric,12.0,18,1215.3,350.07,200,1765.37
Kalyan-Dombivli,19.2403,73.13,Bhopal,23.2599,77.4126,629.78,Pickup,diesel,92.0,8,4635.18,191.15,200,5026.33
Delhi,28.7041,77.1025,Kanpur,26.4499,80.3319,405.11,Electric Van,electric,12.0,18,875.04,274.45,200,1349.49
Patna,25.5941,85.1376,Jaipur,26.9124,75.7873,943.67,Medium Truck,cng,80.0,18,13588.85,799.44,200,14588.29
Pune,18.5204,73.8567,Hyderabad,17.385,78.4867,505.75,Pickup,diesel,92.0,8,3722.32,161.38,200,4083.7
Nashik,19.9975,73.7898,Vijayawada,16.5062,80.648,821.55,Large Truck,diesel,92.0,25,18895.65,1185.86,200,20281.51
Hubli,15.3647,75.123,Srinagar,34.0837,74.7973,2081.71,Tractor Trailer,diesel,92.0,30,57455.2,3372.57,200,61027.76
Meerut,28.9845,77.7064,Hyderabad,17.385,78.4867,1292.26,Tractor Trailer,diesel,92.0,30,35666.38,2188.39,200,38054.77
Madurai,9.9252,78.1198,Jodhpur,26.2389,73.0243,1891.58,CNG Truck,cng,80.0,16,24212.22,1358.44,200,25770.67
Indore,22.7196,75.8577,Solapur,17.6599,75.9064,562.64,Small Truck,diesel,92.0,10,5176.29,218.79,200,5595.08
Bhopal,23.2599,77.4126,Vadodara,22.3072,73.1812,446.52,Small Truck,diesel,92.0,10,4107.98,183.96,200,4491.94
Meerut,28.9845,77.7064,Patna,25.5941,85.1376,825.19,Pickup,diesel,92.0,8,6073.4,238.05,200,6511.44
Faridabad,28.4089,77.3178,Kanpur,26.4499,80.3319,368.68,Large Truck,diesel,92.0,25,8479.64,642.42,200,9322.06
Kota,25.2138,75.8648,Patna,25.5941,85.1376,932.16,Electric Van,diesel,92.0,18,15436.57,527.44,200,16164.01
Vijayawada,16.5062,80.648,Madurai,9.9252,78.1198,781.21,Medium Truck,diesel,92.0,18,12936.84,682.47,200,13819.31
Visakhapatnam,17.6868,83.2185,Kanpur,26.4499,80.3319,1018.68,Pickup,diesel,92.0,8,7497.48,284.48,200,7981.97
Madurai,9.9252,78.1198,Chandigarh,30.7333,76.7794,2317.91,Tractor Trailer,diesel,92.0,30,63974.32,3726.86,200,67901.18
Ludhiana,30.9,75.8573,Kolkata,22.5726,88.3639,1547.23,Medium Truck,diesel,92.0,18,25622.13,1234.01,200,27056.13
Ludhiana,30.9,75.8573,Rajkot,22.3039,70.8022,1079.53,Large Truck,diesel,92.0,25,24829.19,1495.44,200,26524.63
Jabalpur,23.1815,79.9864,Solapur,17.6599,75.9064,746.67,Large Truck,diesel,92.0,25,17173.41,1096.0,200,18469.41
Amritsar,31.634,74.8723,Rajkot,22.3039,70.8022,1112.82,Electric Van,electric,12.0,18,2403.69,614.15,200,3217.84
Pimpri-Chinchwad,18.6278,73.7898,Lucknow,26.8467,80.9462,1171.46,Medium Truck,diesel,92.0,18,19399.38,963.45,200,20562.83
Howrah,22.5958,88.2636,Pimpri-Chinchwad,18.6278,73.7898,1568.79,Electric Van,electric,12.0,18,3388.59,833.02,200,4421.61
Coimbatore,11.0168,76.9558,Rajkot,22.3039,70.8022,1415.31,Large Truck,diesel,92.0,25,32552.13,1898.37,200,34650.5
Lucknow,26.8467,80.9462,Navi Mumbai,19.033,73.0297,1187.57,Pickup,diesel,92.0,8,8740.52,325.02,200,9265.53
Kolkata,22.5726,88.3639,Ahmedabad,23.0225,72.5714,1618.86,Medium Truck,diesel,92.0,18,26808.32,1285.58,200,28293.9
Guwahati,26.1445,91.7362,Vasai-Virar,19.3914,72.8397,2075.05,Tractor Trailer,diesel,92.0,30,57271.38,3362.58,200,60833.96
Meerut,28.9845,77.7064,Vijayawada,16.5062,80.648,1419.74,Pickup,diesel,92.0,8,10449.29,380.74,200,11030.02
Gwalior,26.2183,78.1828,Delhi,28.7041,77.1025,296.24,Electric Van,electric,12.0,18,639.88,222.2,200,1062.07
Guwahati,26.1445,91.7362,Howrah,22.5958,88.2636,528.54,CNG Truck,cng,80.0,16,6765.31,458.84,200,7424.15
Raipur,21.2514,81.6296,Agra,27.1767,78.0081,754.18,Small Truck,diesel,92.0,10,6938.46,276.25,200,7414.71
Kanpur,26.4499,80.3319,Srinagar,34.0837,74.7973,1001.08,Small Truck,cng,80.0,10,8008.64,350.32,200,8558.96
Navi Mumbai,19.033,73.0297,Nagpur,21.1458,79.0882,674.82,Tractor Trailer,cng,80.0,30,16195.68,1262.23,200,17657.91
Madurai,9.9252,78.1198,Navi Mumbai,19.033,73.0297,1151.17,Tractor Trailer,diesel,92.0,30,31772.29,1976.76,200,33949.05
Faridabad,28.4089,77.3178,Kanpur,26.4499,80.3319,368.68,Tractor Trailer,diesel,92.0,30,10175.57,803.02,200,11178.59
Vijayawada,16.5062,80.648,Ludhiana,30.9,75.8573,1672.59,Pickup,diesel,92.0,8,12310.26,441.42,200,12951.68
Faridabad,28.4089,77.3178,Ghaziabad,28.6692,77.4538,31.85,Medium Truck,diesel,92.0,18,527.44,142.93,200,870.37
Jabalpur,23.1815,79.9864,Hyderabad,17.385,78.4867,663.23,Small Truck,diesel,92.0,10,6101.72,248.97,200,6550.68
Chennai,13.0827,80.2707,Howrah,22.5958,88.2636,1353.69,CNG Truck,cng,80.0,16,17327.23,1003.44,200,18530.67
Kota,25.2138,75.8648,Dhanbad,23.7957,86.4304,1080.28,Tractor Trailer,diesel,92.0,30,29815.73,1870.42,200,31886.15
Allahabad,25.4358,81.8463,Vijayawada,16.5062,80.648,1000.67,Pickup,petrol,100.0,8,8005.36,280.16,200,8485.52
Solapur,17.6599,75.9064,Ghaziabad,28.6692,77.4538,1234.31,Pickup,cng,80.0,8,7899.58,336.23,200,8435.82
Varanasi,25.3176,82.9739,Allahabad,25.4358,81.8463,114.04,Pickup,diesel,92.0,8,839.33,67.37,200,1106.7
Bhopal,23.2599,77.4126,Chennai,13.0827,80.2707,1171.11,Large Truck,diesel,92.0,25,26935.53,1605.33,200,28740.86
Gwalior,26.2183,78.1828,Bhopal,23.2599,77.4126,338.03,Tractor Trailer,diesel,92.0,30,9329.63,757.04,200,10286.67
Chennai,13.0827,80.2707,Solapur,17.6599,75.9064,691.27,Electric Van,electric,12.0,18,1493.14,411.81,200,2104.95
Chennai,13.0827,80.2707,Bengaluru,12.9716,77.5946,290.17,CNG Truck,cng,80.0,16,3714.18,301.51,200,4215.69
Navi Mumbai,19.033,73.0297,Visakhapatnam,17.6868,83.2185,1085.47,Large Truck,diesel,92.0,25,24965.81,1502.56,200,26668.37
Thane,19.2183,72.9781,Howrah,22.5958,88.2636,1630.67,Medium Truck,diesel,92.0,18,27003.9,1294.08,200,28497.98
Jabalpur,23.1815,79.9864,Dhanbad,23.7957,86.4304,660.65,Medium Truck,diesel,92.0,18,10940.36,595.67,200,11736.03
Kalyan-Dombivli,19.2403,73.13,Indore,22.7196,75.8577,479.42,Small Truck,diesel,92.0,10,4410.66,193.83,200,4804.49
Vasai-Virar,19.3914,72.8397,Nashik,19.9975,73.7898,120.15,Pickup,diesel,92.0,8,884.3,68.84,200,1153.14
Hubli,15.3647,75.123,Kolkata,22.5726,88.3639,1605.2,Electric Van,electric,12.0,18,3467.23,850.5,200,4517.73
Raipur,21.2514,81.6296,Pune,18.5204,73.8567,867.48,Small Truck,diesel,92.0,10,7980.82,310.24,200,8491.06
Agra,27.1767,78.0081,Pune,18.5204,73.8567,1052.09,Medium Truck,diesel,92.0,18,17422.61,877.5,200,18500.12
Howrah,22.5958,88.2636,Varanasi,25.3176,82.9739,616.77,Medium Truck,diesel,92.0,18,10213.71,564.07,200,10977.79
Patna,25.5941,85.1376,Srinagar,34.0837,74.7973,1371.7,Medium Truck,diesel,92.0,18,22715.35,1107.62,200,24022.98
Varanasi,25.3176,82.9739,Gwalior,26.2183,78.1828,490.08,Small Truck,diesel,92.0,10,4508.74,197.02,200,4905.76
Howrah,22.5958,88.2636,Delhi,28.7041,77.1025,1307.75,Small Truck,petrol,100.0,10,13077.5,442.33,200,13719.83
